method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,9.236339999999999e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,7.389069999999999e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,5.91126e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,4.729009999999999e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,3.7831999999999995e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,3.0265599999999996e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,2.4212499999999997e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.937e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.5495999999999998e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,1.23968e-39,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
L0,9.91744e-40,2.0,2,0.9654997939257726,0.3153205556980856,0.12062003958198615,"['n_concept_distance(c_primitive(clear,0),r_primitive(on,0,1),c_primitive(clear_g,0))', 'b_nullary(arm-empty)']","[0.38858702917379917, 1.7268, -0.6748]","[4.0, 1.0]",2.0
