method,parameter,max_support_size,total_features,score,mae,mse,features_names,feature_weights,feature_complexities,support_size
L0,5.21527e-21,5.0,5,1.0,2.5229003447533037e-10,8.212394626173882e-20,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.8616019836770192e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,3.3617e-21,5.0,5,1.0,2.025273233187868e-10,5.780695066422873e-20,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.3634782192184502e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.05514e-21,5.0,5,1.0,1.6742407952667188e-10,3.763485659058899e-20,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-1.0583267595620782e-10, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.34127e-21,5.0,5,1.0,1.3262138840507547e-10,2.5361046608612067e-20,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-8.836287257452113e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.05497e-21,5.0,5,1.0,1.1346531657245813e-10,1.6610835303623704e-20,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-8.372547100066186e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,6.79909e-22,5.0,5,1.0,9.10850370419846e-11,1.1692337596598595e-20,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-6.13202821853065e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,4.15715e-22,5.0,5,1.0,7.529750137030462e-11,7.612249021139045e-21,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-4.759792560093956e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.71274e-22,5.0,5,1.0,5.964541661846984e-11,5.1296828505685e-21,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.9740211121852553e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,2.13394e-22,5.0,5,1.0,5.102987745870286e-11,3.3598007946385827e-21,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-3.7654990237001584e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
L0,1.37519e-22,5.0,5,1.0,4.0964756673972086e-11,2.364963757702919e-21,"['F_0', 'F_1', 'F_2', 'F_3', 'F_4']","[-2.757838402089874e-11, -1.0, -3.0, -1.0, -2.0, -1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",5.0
